Torque [Nm],f [Hz],rpm,P_avgd_VFD [W],P_act_VFD [W],P_yoko [W],P_mech [W],PF [-],eta_el_VFD [-],eta_el_yoko [-],slip [-],delta_yoko [W],delta_yoko [-]
1,200,5986,1125.4,1151.6,1219.783333,0.14,626.8123333,0.556968485,0.513871862,0.002333333,94.38333333,0.07737713
1,266.6,7982,1442.266667,1443.533333,1547.661017,0.153050847,836.8081695,0.580203501,0.540692154,0.0020005,105.3943503,0.068099118
1,333.33,9984.705882,1834.666667,1819.6,1842.759615,0.163807692,1045.60225,0.569914017,0.567411094,0.001519427,8.092948718,0.004391755
1,400,11984.26415,2320.066667,2297.833333,2119.709302,0.174,1254.568384,0.540746696,0.591858696,0.001311321,-200.3573643,-0.094521152
1,466.66,13978.17647,2294.8,2297.833333,2284.5,0.244,1463.6751,0.637822512,0.640698227,0.00154456,-10.3,-0.004508645
1,533.333,15972.07353,2499.2,2520.966667,2513.463415,0.313731707,1672.348805,0.669153651,0.665356335,0.001744781,14.26341463,0.005674805
1,600,17965.34091,2482.833333,2482.7,2772.090909,0.379636364,1881.496386,0.757802129,0.678728241,0.001925505,289.2575758,0.104346353
1,666.666,19953.8913,2764.1,2780.966667,3051.054348,0.440173913,2089.565826,0.755966074,0.684866799,0.002304437,286.9543478,0.09405088
2,200,5973.918033,1722.032258,1742.354839,1864.42623,0.207098361,1251.143262,0.726550421,0.671060749,0.004346995,142.3939714,0.076374152
2,266.6,7971.639344,2260.870968,2254.290323,2397.213115,0.23,1669.384033,0.738380941,0.696385324,0.003295906,136.342147,0.056875272
2,333.33,9971.377049,2913.806452,2900.096774,2902.016393,0.249163934,2088.502426,0.716760863,0.719672856,0.002852324,-11.79005817,-0.004062712
2,400,11972.22951,3652.129032,3642.967742,3389.442623,0.268,2507.703656,0.686641582,0.739857238,0.002314208,-262.6864093,-0.077501359
2,466.66,13960.21311,3895.225806,3902.645161,3770.754098,0.369967213,2923.986918,0.750659156,0.775438239,0.002827675,-124.4717081,-0.033009765
2,533.333,15948.90164,4393.096774,4386.806452,4222.262295,0.458262295,3340.328934,0.760358605,0.791123029,0.003193025,-170.8344791,-0.040460414
2,600,17935.37705,4884.322581,4909.548387,4701.885246,0.529885246,3756.498426,0.769093025,0.798934519,0.003590164,-182.4373347,-0.038800891
2,666.666,19914.91803,5389.034483,5423.034483,5204.901639,0.585114754,4171.413754,0.774055866,0.801439497,0.004253103,-184.1328434,-0.035376815
3,200,5958.442623,2283.548387,2258.322581,2507.47541,0.27,1871.909393,0.819737127,0.746531506,0.00692623,223.9270227,0.089303776
3,266.6,7956.229508,3017.806452,3009.064516,3254.491803,0.299803279,2499.481328,0.828244411,0.768009717,0.005222617,236.6853517,0.072725748
3,333.33,9956.754098,3910.612903,3902.903226,3968.344262,0.32657377,3128.056705,0.799889118,0.788252354,0.004314633,57.73135907,0.014547971
3,400,11957.06557,4881.741935,4894.225806,4664.704918,0.351803279,3756.318984,0.769462834,0.805264009,0.003577869,-217.0370175,-0.046527491
3,466.66,13939.78689,5440,5457.677419,5263.245902,0.470590164,4379.168082,0.804994133,0.832028023,0.004286712,-176.7540984,-0.033582717
3,533.333,15921.78689,6118.225806,6164.709677,5936.836066,0.558639344,5002.02982,0.817562146,0.842541341,0.004887698,-181.3897409,-0.030553268
3,600,17899.2623,6835,6855.83871,6644.967213,0.617967213,5622.879016,0.822659695,0.846186119,0.005596539,-190.0327869,-0.028598002
3,666.666,19869.72131,7570.448276,7545.62069,7380.770492,0.657016393,6240.992984,0.824388828,0.845574726,0.006512941,-189.6777841,-0.025698914
4,200,5943.344262,2913.322581,2912.741935,3167.114754,0.32047541,2489.500443,0.854522757,0.786046808,0.009442623,253.7921735,0.080133558
4,266.6,7940.885246,3872.354839,3888.064516,4122.442623,0.358245902,3326.201,0.858960797,0.806851982,0.00714113,250.0877842,0.060664952
4,333.33,9941.836066,4994.064516,5023.645161,5045.885246,0.390557377,4164.544557,0.83389883,0.825334774,0.005806452,51.82072977,0.010269899
4,400,11941.29508,6262.741935,6271.935484,5950.459016,0.424,5001.792115,0.798658506,0.840572484,0.004892077,-312.2829191,-0.052480476
4,466.66,13918.72131,6991.387097,7019.548387,6775.229508,0.544606557,5830.186607,0.833909856,0.860514998,0.005791418,-216.1575886,-0.031904098
4,533.333,15893.13115,7873.225806,7905.516129,7680.409836,0.621377049,6657.842492,0.845630832,0.866860315,0.006678682,-192.8159704,-0.025104906
4,600,17862.2623,8837.483871,8891.193548,8621.885246,0.667704918,7482.615016,0.846690656,0.867862979,0.007652095,-215.5986251,-0.025005972
4,666.666,19820.88525,9827.096774,9821.677419,9602.016393,0.693967213,8302.073525,0.844814467,0.86461772,0.008954747,-225.0803808,-0.023440949
5,200,5929.868852,3608.645161,3586.83871,3850.590164,0.354704918,3104.830311,0.860386703,0.80632583,0.011688525,241.9450026,0.062833226
5,266.6,7926.786885,4786.548387,4777.741935,5012.704918,0.400213115,4150.549607,0.867127891,0.828005972,0.008903865,226.1565309,0.045116665
5,333.33,9927.229508,6117.580645,6137.677419,6140.754098,0.440114754,5197.866295,0.849660445,0.846454069,0.007267122,23.1734532,0.003773715
5,400,11926.90164,7499.129032,7530.709677,7248.163934,0.48295082,6244.724525,0.83272664,0.861559504,0.00609153,-250.9650978,-0.034624644
5,466.66,13897.08197,8516.451613,8528.870968,8301.868852,0.597770492,7276.444754,0.854398649,0.876482739,0.007337107,-214.5827604,-0.025847525
5,533.333,15863.32787,9632.870968,9656.83871,9440.098361,0.662704918,8306.397377,0.86229717,0.879905808,0.008541389,-192.7726071,-0.020420614
5,600,17822.62295,10835.93548,10843.03226,10622.78689,0.698737705,9330.462246,0.861066611,0.878344106,0.009854281,-213.1485986,-0.020065224
5,666.666,19766,12095.75862,12109.06897,11857.22951,0.716163934,10350.19605,0.855688045,0.872901721,0.011699012,-238.5291125,-0.020116766
6,200,5914.803279,4321.193548,4294.903226,4535.409836,0.38504918,3716.236967,0.860002433,0.819382835,0.014199454,214.2162877,0.047231958
6,266.6,7911.327869,5717.032258,5729.419355,5907.065574,0.435639344,4970.574049,0.86943257,0.84146248,0.010836726,190.0333157,0.032170511
6,333.33,9911.409836,7271.83871,7292.903226,7241.016393,0.481098361,6226.992738,0.856316124,0.859961143,0.008849105,-30.82231623,-0.004256628
6,400,11909.54098,8855.967742,8864.709677,8556.819672,0.532245902,7483.248328,0.844994985,0.874536173,0.007538251,-299.1480698,-0.034960193
6,466.66,13872.31148,10059.90323,10064.41935,9841.606557,0.637245902,8716.012836,0.866411201,0.885629067,0.009106453,-218.2966684,-0.022180999
6,533.333,15829.29508,11426.83333,11407.86667,11215.45902,0.691590164,9945.374,0.870352591,0.88675586,0.010668439,-211.3743169,-0.018846693
7,200,5901.081967,5031.935484,5004.935484,5225.557377,0.410491803,4325.646344,0.859638673,0.827786594,0.016486339,193.6218932,0.037052869
7,266.6,7897,6653.612903,6659.870968,6806.311475,0.466081967,5788.746869,0.870015577,0.850496909,0.012628157,152.6985722,0.022434849
7,333.33,9896.622951,8435.548387,8437,8345.327869,0.516196721,7254.091164,0.859943045,0.869239804,0.010327808,-90.22051824,-0.010810902
7,400,11892.54098,10140.93548,10141.67742,9876.081967,0.571672131,8717.889049,0.859673061,0.88272749,0.008954918,-264.8535167,-0.026817671
7,466.66,13848.11475,11621.06667,11618.53333,11396.08197,0.666459016,10151.59885,0.873551382,0.890797283,0.010834815,-224.9846995,-0.019742285
8,200,5887.918033,5741.419355,5758.774194,5918.606557,0.432885246,4933.11977,0.859216069,0.833493445,0.018680328,177.1872025,0.029937317
8,266.6,7882.229508,7576.064516,7603.258065,7708.540984,0.492459016,6604.591475,0.871770754,0.856788787,0.01447493,132.4764675,0.017185673
8,333.33,9940.885246,9632.516129,9638.290323,9526.327869,0.547557377,8329.323754,0.864709038,0.874347794,0.005901534,-106.1882602,-0.01114682
8,400,11822.08197,11532.86667,11503.5,11135.52459,0.602196721,9902.158918,0.858603433,0.889240452,0.014826503,-397.3420765,-0.035682385
