Zeitstempel	Drehzahl	Drehmoment	Leistung	Durchfluss DN 20	Durchfluss DN 40	Druck 1	Druck 2	Druck 3	Druck 4	Druck 5	Druck 6	Temperatur Thermoelement	Temperatur Leitung	Taupunkttemperatur
hh:mm:ss	U/min	Nm	W	Nm³/h	Nm³/h	bar	bar	bar	bar	bar	bar	°C	°C	°C
 10:07:22	3280,858464	-3,282088	-1058,889499	0,126994	48,872802	0,980102	0,977905	0,974324	0,979586	0,978990	0,979739	21,430653	21,749303	-2,155144
 10:07:23	3280,807994	-3,279765	-1058,123180	0,126779	48,884788	0,980092	0,977902	0,974335	0,979580	0,978986	0,979739	21,430538	21,749361	-2,155267
 10:07:25	3278,789230	-3,186844	-1027,470422	0,118191	49,364238	0,979665	0,977788	0,974799	0,979348	0,978831	0,979749	21,425915	21,751672	-2,160202
 10:07:26	3278,760390	-3,187324	-1027,615728	0,150825	49,337389	0,979680	0,977800	0,974792	0,979355	0,978839	0,979751	21,425475	21,750482	-2,159694
 10:07:27	3278,198020	-3,196697	-1030,449188	0,787190	48,813829	0,979981	0,978026	0,974659	0,979497	0,978999	0,979804	21,416910	21,727273	-2,149775
 10:07:28	3278,390283	-3,199260	-1031,340372	0,721922	48,813829	0,979996	0,978009	0,974688	0,979498	0,978978	0,979816	21,419037	21,731109	-2,149823
 10:07:29	3280,168719	-3,222971	-1039,583829	0,118191	48,813829	0,980130	0,977858	0,974957	0,979511	0,978785	0,979921	21,438710	21,766595	-2,150267
 10:07:30	3280,144686	-3,241395	-1045,518128	0,117655	49,147047	0,980120	0,977890	0,974913	0,979503	0,978839	0,979916	21,435155	21,769600	-2,148813
 10:07:31	3279,971649	-3,374049	-1088,245078	0,113790	51,546216	0,980047	0,978119	0,974594	0,979446	0,979227	0,979879	21,409565	21,791230	-2,138347
 10:07:32	3279,913970	-3,388948	-1093,029684	0,115078	51,767722	0,980048	0,978094	0,974596	0,979461	0,979196	0,979900	21,409946	21,787209	-2,136601
 10:07:33	3279,577509	-3,475862	-1120,939888	0,122593	53,059841	0,980056	0,977946	0,974608	0,979548	0,979013	0,980023	21,412171	21,763753	-2,126410
 10:07:34	3279,500604	-3,449588	-1112,439671	0,284045	52,112447	0,979892	0,977896	0,974620	0,979513	0,978996	0,980011	21,405560	21,764400	-2,125157
 10:07:35	3279,183369	-3,341206	-1077,376275	0,950038	48,204448	0,979218	0,977686	0,974673	0,979367	0,978924	0,979958	21,378287	21,767069	-2,119986
 10:07:36	3279,248258	-3,308042	-1066,704352	0,770336	48,269174	0,979500	0,977733	0,974686	0,979388	0,978917	0,979944	21,380003	21,770657	-2,118409
 10:07:37	3279,478974	-3,190128	-1028,759737	0,131395	48,499310	0,980503	0,977900	0,974733	0,979464	0,978892	0,979893	21,386107	21,783413	-2,112798
 10:07:38	3279,928390	-3,202464	-1032,890232	0,126672	48,615337	0,980410	0,977921	0,974707	0,979476	0,978904	0,979867	21,378986	21,772419	-2,110958
 10:07:39	3281,154068	-3,236108	-1044,155217	0,113790	48,931774	0,980158	0,977979	0,974636	0,979506	0,978938	0,979795	21,359567	21,742433	-2,105938
 10:07:40	3280,461920	-3,276481	-1056,937288	0,118943	49,731497	0,980036	0,977969	0,974661	0,979538	0,978940	0,979833	21,364214	21,750129	-2,104463
 10:07:41	3278,789230	-3,374049	-1087,827294	0,131395	51,664161	0,979739	0,977946	0,974724	0,979614	0,978943	0,979925	21,375443	21,768727	-2,100897
 10:07:42	3278,914201	-3,346973	-1079,140926	0,356077	50,193208	0,979766	0,977868	0,974641	0,979572	0,978877	0,979977	21,385060	21,786377	-2,095803
 10:07:43	3279,183369	-3,288657	-1060,431826	0,840006	47,025001	0,979823	0,977700	0,974463	0,979483	0,978733	0,980088	21,405774	21,824392	-2,084829
